"名称","名称かな","所在地","TEL","FAX","備考","URL","利用可能時間","休館日_1","写真","参考URL2","爆心地からの距離","所有者等","構造","郵便番号","TEL(夜間・休日）","私立等・公立の別","開設者種別","科目","対応可能言語","登録区分","開館時間","休館日_2","設置学部","障害種別","類型","設置者","文化財分類","種類","文化財指定日","区名","介護保険事業所番号","申請者-法人名","状態区分","NO","行政区","水利種別","公私区分","施設ID","登録番号","担当区内通番号","経度","緯度","分類"
"野村歯科医院","","広島市南区段原日出一丁目１－１３","082-281-1067","","","","","","","","","","","732-0818","","","","","","","","","","","","","","","","","","","","","","","","A049000542","","","132.480704999945","34.3863999998719","歯科診療所"
"医療法人社団　滋泉会　公園通り歯科クリニック","","広島市佐伯区五日市駅前三丁目１－２５","082-208-0131","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A049000543","","","132.366187000197","34.3709459996348","歯科診療所"
"あわや歯科クリニック","","広島市佐伯区五日市中央五丁目１１－２６","082-923-3147","","","","","","","","","","","731-5128","","","","","","","","","","","","","","","","","","","","","","","","A049000544","","","132.35374400009","34.3752599997202","歯科診療所"
"医療法人　アリタ会　中央公園歯科クリニック","","広島市中区基町１８番２－２号","082-228-7170","","","","","","","","","","","730-0011","","","","","","","","","","","","","","","","","","","","","","","","A049000545","","","132.455401000017","34.4030929998329","歯科診療所"
"永田デンタルオフィス","","広島市安佐北区可部南四丁目９－１５","082-814-9000","","","","","","","","","","","731-0223","","","","","","","","","","","","","","","","","","","","","","","","A049000546","","","132.51187900016","34.5078300000012","歯科診療所"
"医療法人社団裕晴会","","広島市安芸区矢野東四丁目４－２７","082-516-5655","","","","","","","","","","","736-0083","","","","","","","","","","","","","","","","","","","","","","","","A049000547","","","132.538340999986","34.3554049997352","歯科診療所"
"なぎさ歯科","","広島市佐伯区藤垂園６－１","082-921-2133","","","","","","","","","","","731-5131","","","","","","","","","","","","","","","","","","","","","","","","A049000548","","","132.372424000148","34.3668609996813","歯科診療所"
"東区役所前歯科","","広島市東区東蟹屋町５番９号","082-264-9101","","","","","","","","","","","732-0055","","","","","","","","","","","","","","","","","","","","","","","","A049000549","","","132.482977999946","34.3961209997361","歯科診療所"
"医療法人　みどり坂の歯医者さん　こうもと歯科","","広島市安芸区瀬野西一丁目２－２","082-894-4618","","","","","","","","","","","739-0313","","","","","","","","","","","","","","","","","","","","","","","","A049000550","","","132.595937000064","34.4237059999183","歯科診療所"
"フラワー歯科","","広島市安佐南区伴中央六丁目１３－３１－３Ａ","082-848-6855","","","","","","","","","","","731-3165","","","","","","","","","","","","","","","","","","","","","","","","A049000551","","","132.405066999952","34.4547209997751","歯科診療所"
"津島歯科クリニック","","広島市中区広瀬町７－５","082-231-2866","","","","","","","","","","","730-0804","","","","","","","","","","","","","","","","","","","","","","","","A049000552","","","132.446711000132","34.3991749998176","歯科診療所"
"医療法人社団　博寿会　山下歯科クリニック","","広島市安佐北区口田一丁目１５番６号","082-843-8148","","","","","","","","","","","739-1734","","","","","","","","","","","","","","","","","","","","","","","","A049000553","","","132.494951000202","34.4615589998354","歯科診療所"
"医療法人社団　高橋歯科医院","","広島市南区旭二丁目１９－７","082-255-1717","","","","","","","","","","","734-0036","","","","","","","","","","","","","","","","","","","","","","","","A049000554","","","132.477952000025","34.3723099997816","歯科診療所"
"あき歯科医院","","広島市中区三川町９－１２　ミヤケビル３Ｆ","","","","","","","","","","","","730-0029","","","","","","","","","","","","","","","","","","","","","","","","A049000555","","","132.462185999912","34.3886729999559","歯科診療所"
"前田歯科医院","","広島市中区榎町１０－１３","082-291-8391","","","","","","","","","","","730-0851","","","","","","","","","","","","","","","","","","","","","","","","A049000556","","","132.446276000186","34.3961409999242","歯科診療所"
"医療法人　アーク歯科クリニック","","広島市西区三篠町三丁目６－９","082-238-8148","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A049000557","","","132.45469100006","34.4163359999518","歯科診療所"
"山田歯科","","広島市西区三篠町三丁目２４－１８","","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A049000558","","","132.452960000022","34.4145389999159","歯科診療所"
"こにし歯科医院","","広島市佐伯区皆賀一丁目１３－５－３","082-925-0888","","","","","","","","","","","731-5124","","","","","","","","","","","","","","","","","","","","","","","","A049000559","","","132.370954000158","34.3700639996796","歯科診療所"
"医療法人戸坂ホワイト歯科","","広島市東区戸坂千足一丁目２２番６－１１号","","","","","","","","","","","","732-0009","","","","","","","","","","","","","","","","","","","","","","","","A049000560","","","132.484662000063","34.4371329999209","歯科診療所"
"はしはら歯科クリニック","","広島市安佐南区西原一丁目７－２２","082-832-2211","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A049000561","","","132.464375999932","34.4361699999113","歯科診療所"
"あい歯科","","広島市南区京橋町７－１８","","","","","","","","","","","","732-0828","","","","","","","","","","","","","","","","","","","","","","","","A049000562","","","132.47179100018","34.3945999996059","歯科診療所"
"なぎさ歯科クリニック","","広島市西区三篠北町１９－２７","","","","","","","","","","","","733-0006","","","","","","","","","","","","","","","","","","","","","","","","A049000563","","","132.456103000086","34.4173369999622","歯科診療所"
"グレイス矯正歯科クリニック","","広島市南区皆実町五丁目１４－１ライオンズプラザ皆実町２０３","082-205-0464","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A049000564","","","132.46503500008","34.3731829998746","歯科診療所"
"とよた歯科クリニック","","広島市西区庚午北四丁目６－２２　庚午田中ビル１階","082-208-3918","","","","","","","","","","","733-0821","","","","","","","","","","","","","","","","","","","","","","","","A049000565","","","132.418771999968","34.3873789996868","歯科診療所"
"かしづき歯科クリニック","","広島市佐伯区海老園一丁目１２－２６","082-923-8326","","","","","","","","","","","731-5135","","","","","","","","","","","","","","","","","","","","","","","","A049000566","","","132.357960000214","34.3618149998567","歯科診療所"
"中川歯科","","広島市南区段原山崎三丁目２－２８　さくらビル１Ｆ","","","","","","","","","","","","732-0819","","","","","","","","","","","","","","","","","","","","","","","","A049000567","","","132.483466000014","34.3849499998885","歯科診療所"
"ひらの歯科クリニック","","広島市安芸区船越南三丁目２７－３０　ＮＴＴ海田ビル１Ｆ","082-516-7581","","","","","","","","","","","736-0082","","","","","","","","","","","","","","","","","","","","","","","","A049000568","","","132.526948000116","34.3712809999092","歯科診療所"
"ステラデンタルクリニック","","広島市西区井口台二丁目１－１　エイブル広島ビル１０２","082-277-8648","","","","","","","","","","","733-0844","","","","","","","","","","","","","","","","","","","","","","","","A049000569","","","132.37885300015","34.3772779997654","歯科診療所"
"蜂須賀歯科口腔外科クリニック","","広島市東区戸坂千足一丁目１０－１　エクセルコート太田川２Ｆ","082-220-3311","","","","","","","","","","","732-0009","","","","","","","","","","","","","","","","","","","","","","","","A049000570","","","132.47917000009","34.435459999865","歯科診療所"
"まつしま歯科クリニック","","広島市佐伯区湯来町和田１７８番地１","0829-83-0119","","","","","","","","","","","738-0601","","","","","","","","","","","","","","","","","","","","","","","","A049000571","","","132.27567599991","34.4877070000116","歯科診療所"
"医療法人　青心会　メリィハウス歯科クリニック","","広島市安佐南区大塚西三丁目２－９","082-848-8840","","","","","","","","","","","731-3167","","","","","","","","","","","","","","","","","","","","","","","","A049000572","","","132.395338999968","34.4446069996048","歯科診療所"
"すぐる歯科","","広島市南区京橋町６－５　２階","082-264-4618","","","","","","","","","","","732-0828","","","","","","","","","","","","","","","","","","","","","","","","A049000573","","","132.472313000191","34.3948769995881","歯科診療所"
"医療法人サラスワティ川越歯科医院","","広島市中区江波二本松２－７－３０","082-231-8368","","","","","","","","","","","730-0834","","","","","","","","","","","","","","","","","","","","","","","","A049000574","","","132.430896999888","34.364804999791","歯科診療所"
"田中歯科","","広島市中区大手町二丁目５－１１　ハルゼンビル８０２","082-543-6477","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A049000575","","","132.455009000106","34.391874999944","歯科診療所"
"フェローデンタルクリニック","","広島市西区三篠町三丁目６－５　グランディール三篠１０１","082-225-8148","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A049000576","","","132.454924000068","34.4166319999544","歯科診療所"
"もりかわ歯科クリニック","","広島市西区古江西町１－２　古江駅前ビル１Ｆ","082-507-1181","","","","","","","","","","","733-0874","","","","","","","","","","","","","","","","","","","","","","","","A049000577","","","132.410699999931","34.3859919997897","歯科診療所"
"香川歯科","","広島市中区八丁堀１４－７　八丁堀宮田ビル６Ｆ","082-221-6485","","","","","","","","","","","730-0013","","","","","","","","","","","","","","","","","","","","","","","","A049000578","","","132.462508000188","34.3947239997686","歯科診療所"
"すみれ歯科クリニック","","広島市安佐南区八木二丁目６－３９－７","082-873-1911","","","","","","","","","","","731-0101","","","","","","","","","","","","","","","","","","","","","","","","A049000579","","","132.495468999862","34.4800249998929","歯科診療所"
"かなで歯科クリニック","","広島市安佐南区山本三丁目１－５　堀田ビル１０２","082-962-2275","","","","","","","","","","","731-0137","","","","","","","","","","","","","","","","","","","","","","","","A049000580","","","132.456286999967","34.4392699998895","歯科診療所"
"結デンタルクリニック","","広島市南区旭一丁目９－１８","082-256-6480","","","","","","","","","","","734-0036","","","","","","","","","","","","","","","","","","","","","","","","A049000581","","","132.477935000097","34.374292999771","歯科診療所"
"八幡歯科・矯正歯科","","広島市佐伯区八幡二丁目２２－２１","082-928-6260","","","","","","","","","","","731-5116","","","","","","","","","","","","","","","","","","","","","","","","A049000582","","","132.35513800005","34.3907429999647","歯科診療所"
"ルミナス白島通りデンタルクリニック","","広島市中区東白島町２１－２１","082-555-8202","","","","","","","","","","","730-0004","","","","","","","","","","","","","","","","","","","","","","","","A049000583","","","132.466226999904","34.4028679998433","歯科診療所"
"医療法人社団ティースマイル　ティースマイル矯正歯科","","広島市中区紙屋町一丁目１－１　東和ビル２Ｆ","082-240-1182","","","","","","","","","","","730-0031","","","","","","","","","","","","","","","","","","","","","","","","A049000584","","","132.459759000168","34.3943539998335","歯科診療所"
"松村歯科クリニック","","広島市西区己斐本町二丁目１５－４","082-272-5600","","","","","","","","","","","733-0812","","","","","","","","","","","","","","","","","","","","","","","","A049000585","","","132.426526999966","34.3929469998551","歯科診療所"
"医療法人　河村歯科クリニック","","広島市南区京橋町１－３","082-263-6480","","","","","","","","","","","732-0828","","","","","","","","","","","","","","","","","","","","","","","","A049000586","","","132.473066000177","34.394812999597","歯科診療所"
"医療法人社団　きなみ　きなみ小児歯科・矯正歯科医院","","広島市佐伯区五日市駅前一丁目１１－１","082-922-6480","","","","","","","","","","","731-5125","","","","","","","","","","","","","","","","","","","","","","","","A049000587","","","132.367328000193","34.367478999677","歯科診療所"
"ワイズデンタルクリニック","","広島市安佐南区緑井二丁目２８－２８","082-846-4488","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A049000588","","","132.470432000134","34.4669199997507","歯科診療所"
"上川歯科医院","","広島市中区西白島町２０－１５　メディカルプラザ西白島２Ｆ","082-228-5539","","","","","","","","","","","730-0005","","","","","","","","","","","","","","","","","","","","","","","","A049000589","","","132.459355999897","34.4059789999983","歯科診療所"
"ともデンタルクリニック","","広島市西区大宮二丁目２－２","082-237-0018","","","","","","","","","","","733-0007","","","","","","","","","","","","","","","","","","","","","","","","A049000590","","","132.458338000137","34.4226939998987","歯科診療所"
"医療法人　おひさま歯科・小児歯科","","広島市中区光南四丁目５－３４　安田ビル１Ｆ","082-236-1180","","","","","","","","","","","730-0825","","","","","","","","","","","","","","","","","","","","","","","","A049000591","","","132.446021000024","34.36681599993","歯科診療所"
"やまの矯正歯科クリニック","","広島市安芸区矢野西四丁目３－１１","082-888-8741","","","","","","","","","","","736-0085","","","","","","","","","","","","","","","","","","","","","","","","A049000592","","","132.532616999954","34.3517249998694","歯科診療所"
"幟町　松岡歯科医院","","広島市中区幟町１１番２－１号","082-555-9977","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A049000593","","","132.46630200017","34.394310999713","歯科診療所"
"パセーラ　デンタルクリニック","","広島市中区基町６－７８　ＮＴＴクレド基町ビル９０２","082-222-6667","","","","","","","","","","","730-0011","","","","","","","","","","","","","","","","","","","","","","","","A049000594","","","132.455017999907","34.3862450000457","歯科診療所"
"かまやま歯科","","広島市安佐北区可部四丁目２４－２７－１０１","082-815-8833","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A049000595","","","132.509638999944","34.516023999916","歯科診療所"
"剛志矯正歯科","","広島市中区橋本町２－２７　橋本町ビル２０１","082-222-0418","","","","","","","","","","","730-0015","","","","","","","","","","","","","","","","","","","","","","","","A049000596","","","132.46812300015","34.3938469996944","歯科診療所"
"フタバ歯科","","広島市西区古江新町１－２６　岡村ビル２Ｆ","082-961-3341","","","","","","","","","","","733-0873","","","","","","","","","","","","","","","","","","","","","","","","A049000597","","","132.41195799996","34.3848059997833","歯科診療所"
"春日野歯科クリニック","","広島市安佐南区山本新町二丁目１８－９－８　信徳ビル２Ｆ","082-850-3239","","","","","","","","","","","731-0139","","","","","","","","","","","","","","","","","","","","","","","","A049000598","","","132.435510999822","34.4410559997874","歯科診療所"
"アルパカこども矯正歯科","","広島市佐伯区皆賀一丁目１３－１４－１","082-576-6356","","","","","","","","","","","731-5124","","","","","","","","","","","","","","","","","","","","","","","","A049000599","","","132.37001400016","34.3706509996679","歯科診療所"
"医療法人　宝歯会　広島祇園スマイル歯科小児歯科医院","","広島市安佐南区祇園三丁目２－１","082-871-6480","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A049000600","","","132.46155900014","34.4443639998657","歯科診療所"
"こせき矯正歯科","","広島市西区己斐本町一丁目１７－５","082-271-8148","","","","","","","","","","","733-0812","","","","","","","","","","","","","","","","","","","","","","","","A049000601","","","132.446448000175","34.3969409998981","歯科診療所"
"いくなが歯科医院","","広島市安芸区矢野東五丁目３－１５　ペガッソ木村ビル１Ｆ","082-888-3338","","","","","","","","","","","736-0083","","","","","","","","","","","","","","","","","","","","","","","","A049000602","","","132.536096999961","34.3547829998078","歯科診療所"
"こころ衣笠歯科医院","","広島市安佐南区伴南四丁目３－３０－２","082-849-1200","","","","","","","","","","","731-3168","","","","","","","","","","","","","","","","","","","","","","","","A049000603","","","132.379840000058","34.4473529997507","歯科診療所"
"加藤歯科医院","","広島市中区千田町一丁目５－８","082-240-4180","","","","","","","","","","","730-0052","","","","","","","","","","","","","","","","","","","","","","","","A049000604","","","132.453165000037","34.3810620000001","歯科診療所"
"大塚歯科　－あいりす－","","広島市中区大手町一丁目４－１４　大手町上田ビル１Ｆ","082-243-5888","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A049000605","","","132.455167000218","34.3949849998843","歯科診療所"
"上田ひろた歯科医院","","広島市佐伯区五日市町石内６７８２－１","082-942-6111","","","","","","","","","","","731-5102","","","","","","","","","","","","","","","","","","","","","","","","A049000606","","","132.372181000242","34.4086329999743","歯科診療所"
"南区役所通りデンタルクリニック","","広島市南区皆実町一丁目１８－５","082-258-4618","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A049000607","","","132.470394000206","34.3777179996949","歯科診療所"
"えのまち歯科クリニック","","広島市中区榎町７－１","082-215-4903","","","","","","","","","","","730-0851","","","","","","","","","","","","","","","","","","","","","","","","A049000608","","","132.4441340001","34.3967049998556","歯科診療所"
"紙屋町歯科医院","","広島市中区紙屋町一丁目４－３　エフケイビル２０１号","082-247-9461","","","","","","","","","","","730-0031","","","","","","","","","","","","","","","","","","","","","","","","A049000609","","","132.458762000164","34.3941379998525","歯科診療所"
"エイミー歯科","","広島市佐伯区五日市中央二丁目４－３９　サンサンコート利保　１Ｆ","082-961-5935","","","","","","","","","","","731-5128","","","","","","","","","","","","","","","","","","","","","","","","A049000610","","","132.354752000272","34.3705229997089","歯科診療所"
"土井矯正歯科・小児歯科医院","","広島市佐伯区五日市三丁目２－１６","082-922-3117","","","","","","","","","","","731-5127","","","","","","","","","","","","","","","","","","","","","","","","A049000611","","","132.36758400019","34.3704899996452","歯科診療所"
"つちや歯科医院","","広島市南区宇品神田三丁目８－１６","082-254-1833","","","","","","","","","","","734-0004","","","","","","","","","","","","","","","","","","","","","","","","A049000612","","","132.464369999815","34.3622579997801","歯科診療所"
"ハート歯科クリニック","","広島市中区大手町三丁目１３－８","082-567-5727","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A049000613","","","132.453906999924","34.3864250000443","歯科診療所"
"かさい歯科医院","","広島市安佐南区八木一丁目１９－２０","082-832-0232","","","","","","","","","","","731-0101","","","","","","","","","","","","","","","","","","","","","","","","A049000614","","","132.505751000154","34.5069529999471","歯科診療所"
"友成デンタルオフィス","","広島市中区上幟町３－２１","082-223-8020","","","","","","","","","","","730-0014","","","","","","","","","","","","","","","","","","","","","","","","A049000615","","","132.466208000038","34.3990909997783","歯科診療所"
"ＬＥＩＬＡＮＩ　ＤＥＮＴＡＬ　ＳＡＬＯＮ・矯正歯科","","広島市中区新天地５－１６　３Ｆ","082-569-8255","","","","","","","","","","","730-0034","","","","","","","","","","","","","","","","","","","","","","","","A049000616","","","132.461456000032","34.3913159998896","歯科診療所"
"あだちツインズ歯科クリニック","","広島市佐伯区楽々園三丁目２－１６","082-922-6345","","","","","","","","","","","731-5136","","","","","","","","","","","","","","","","","","","","","","","","A049000617","","","132.356048000222","34.3642399997721","歯科診療所"
"吉岡デンタルキュア","","広島市中区大手町一丁目８－１７　３Ｆ","082-207-0003","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A049000618","","","132.455159000188","34.3939909999016","歯科診療所"
"橋田歯科医院","","広島市東区曙一丁目８－９","082-568-2040","","","","","","","","","","","732-0045","","","","","","","","","","","","","","","","","","","","","","","","A049000619","","","132.488533999907","34.3956269998409","歯科診療所"
"さくらい歯科","","広島市中区舟入川口町２１－３５　１Ｆ","082-232-0860","","","","","","","","","","","730-0845","","","","","","","","","","","","","","","","","","","","","","","","A049000620","","","132.443095999954","34.379820000005","歯科診療所"
"一般社団法人広島県歯科医師会　広島口腔保健センター","","広島市東区二葉の里三丁目２－４","082-262-2555","","","","","","","","","","","732-0057","","","","","","","","","","","","","","","","","","","","","","","","A049000621","","","132.475120999882","34.4009879997256","歯科診療所"
"医療法人社団　健青会　銀座青山ＹＯＵ矯正歯科　広島駅前医院","","広島市南区松原町５－１　ビッグフロント広島タワービル西棟４Ｆ","082-506-3106","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A049000622","","","132.476604000074","34.3957079996589","歯科診療所"
"森田歯科医院","","広島市中区幟町１４－１４　広島教販ビル２Ｆ","082-221-2231","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A049000623","","","132.466358000136","34.3935319997354","歯科診療所"
"みどり歯科","","広島市西区南観音二丁目５－４１","082-233-1418","","","","","","","","","","","733-0035","","","","","","","","","","","","","","","","","","","","","","","","A049000624","","","132.431684999996","34.3846139999274","歯科診療所"
"生協さえき歯科","","広島市佐伯区八幡東三丁目１１－２９","082-926-1148","","","","","","","","","","","731-5115","","","","","","","","","","","","","","","","","","","","","","","","A049000625","","","132.365045000026","34.3877399999253","歯科診療所"
"医療法人社団水内歯科医院","","広島市南区松原町３－１－２０４","082-568-0255","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A049000626","","","132.476543000101","34.3950359996485","歯科診療所"
"医療法人　出崎歯科医院","","広島市南区松原町３－１－１１９","082-263-3063","","","","","","","","","","","732-0822","","","","","","","","","","","","","","","","","","","","","","","","A049000627","","","132.476604000074","34.3957079996589","歯科診療所"
"ゆき歯科クリニック","","広島市西区南観音二丁目４－１６　ひらいちセブン２Ｆ","082-291-4000","","","","","","","","","","","733-0035","","","","","","","","","","","","","","","","","","","","","","","","A049000628","","","132.432388000029","34.3854499999223","歯科診療所"
"鎌田歯科クリニック","","広島市中区舟入南一丁目４－６１","082-293-0007","","","","","","","","","","","730-0847","","","","","","","","","","","","","","","","","","","","","","","","A049000629","","","132.439473999928","34.3797260000243","歯科診療所"
"医療法人センターはる歯科","","広島市中区紙屋町二丁目２－２５　４Ｆ","082-258-5030","","","","","","","","","","","730-0031","","","","","","","","","","","","","","","","","","","","","","","","A049000630","","","132.45609200019","34.3942489998849","歯科診療所"
"はせがわファミリー歯科","","広島市中区江波二本松二丁目５－１３","082-554-4866","","","","","","","","","","","730-0834","","","","","","","","","","","","","","","","","","","","","","","","A049000631","","","132.43199099993","34.3673569998699","歯科診療所"
"医療法人　きたがわ歯科クリニック","","広島市安佐南区祇園三丁目６４－６","082-225-7648","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A049000632","","","132.461024999949","34.4393589999303","歯科診療所"
"歯科・川本医院","","広島市中区幟町１３－４　マツダビル３Ｆ","082-225-7021","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A049000633","","","132.466051000142","34.3936629997362","歯科診療所"
"Ｍデンタルオフィス","","広島市中区竹屋町４－１２　ビリオネアＳ竹屋１Ｆ","082-248-6750","","","","","","","","","","","730-0048","","","","","","","","","","","","","","","","","","","","","","","","A049000634","","","132.460617000074","34.3813420000034","歯科診療所"
"たかす歯科小児歯科クリニック","","広島市西区庚午北二丁目２３－２","082-507-4182","","","","","","","","","","","733-0821","","","","","","","","","","","","","","","","","","","","","","","","A049000635","","","132.417085999987","34.3897139998002","歯科診療所"
"あだちツインズ歯科クリニック　大州","","広島市南区大州三丁目８－１６","082-258-4955","","","","","","","","","","","732-0802","","","","","","","","","","","","","","","","","","","","","","","","A049000636","","","132.491973000082","34.3881779998432","歯科診療所"
"ほり歯科医院","","広島市西区井口五丁目１－８","082-554-5541","","","","","","","","","","","733-0842","","","","","","","","","","","","","","","","","","","","","","","","A049000637","","","132.381430000017","34.3689019996449","歯科診療所"
"アルパカ歯科","","広島市安佐北区安佐町鈴張１９５３","082-835-1215","","","","","","","","","","","731-1141","","","","","","","","","","","","","","","","","","","","","","","","A049000638","","","132.456363000068","34.5833719997442","歯科診療所"
"トーマス歯科クリニック","","広島市南区宇品東六丁目１－１５　イオン宇品店２Ｆ","082-251-1522","","","","","","","","","","","734-0003","","","","","","","","","","","","","","","","","","","","","","","","A049000639","","","132.467824999824","34.3623759998763","歯科診療所"
"はしかた歯科　小児歯科","","広島市西区三篠町一丁目８－６","082-509-1108","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A049000640","","","132.45179999997","34.4119479998594","歯科診療所"
"川岡歯科クリニック","","広島市佐伯区海老園二丁目３－８　１Ｆ","","","","","","","","","","","","731-5135","","","","","","","","","","","","","","","","","","","","","","","","A049000641","","","132.361587000214","34.3652229997494","歯科診療所"
"バスセンター歯科","","広島市中区基町６－２７　広島センタービル９階","082-846-6444","","","","","","","","","","","730-0011","","","","","","","","","","","","","","","","","","","","","","","","A049000642","","","132.457226000171","34.3962019998617","歯科診療所"
"Ｊｏｈｎｎｙ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","","広島市中区立町４－４　ＤＯＬＣＥ　立町３Ｆ","082-259-3666","","","","","","","","","","","730-0032","","","","","","","","","","","","","","","","","","","","","","","","A049000643","","","132.460931000172","34.3943649998071","歯科診療所"
"勝島歯科医院","","広島市佐伯区千同２－１４－３２－２Ｆ","082-923-7500","","","","","","","","","","","731-5141","","","","","","","","","","","","","","","","","","","","","","","","A049000644","","","132.354028999978","34.3790269997382","歯科診療所"
"たかしま歯科クリニック","","広島市東区牛田中一丁目１１－１２","082-228-7590","","","","","","","","","","","732-0065","","","","","","","","","","","","","","","","","","","","","","","","A049000645","","","132.472750999818","34.4084839999402","歯科診療所"
"Ｋ’ｓデンタル","","広島市西区中広町二丁目２－１５","082-942-5688","","","","","","","","","","","733-0012","","","","","","","","","","","","","","","","","","","","","","","","A049000646","","","132.44453999997","34.4036179997038","歯科診療所"
"ア歯科広島東グループ　小松診療所","","広島市中区千田町二丁目１－５　１Ｆ","082-244-6526","","","","","","","","","","","730-0052","","","","","","","","","","","","","","","","","","","","","","","","A049000647","","","132.456509000115","34.3794169999986","歯科診療所"
"ふたばの里歯科","","広島市東区二葉の里３丁目４－６","082-568-6630","","","","","","","","","","","732-0057","","","","","","","","","","","","","","","","","","","","","","","","A049000648","","","132.47230699985","34.4023449997377","歯科診療所"
"はなの歯科クリニック","","広島市安佐南区祇園五丁目２－４５　祇園クリニックビル２０３","082-225-8770","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A049000649","","","132.46064600014","34.447178999785","歯科診療所"
"医療法人鎌田歯科・矯正歯科","","広島市南区翠三丁目３－１６","082-236-1181","","","","","","","","","","","734-0005","","","","","","","","","","","","","","","","","","","","","","","","A049000650","","","132.471401999979","34.3732809998182","歯科診療所"
"ひかりまち小児歯科・矯正歯科","","広島市東区光町二丁目４－２２","082-506-2270","","","","","","","","","","","732-0052","","","","","","","","","","","","","","","","","","","","","","","","A049000651","","","132.4797009998","34.4022649997601","歯科診療所"
"ゆたか歯科クリニック","","広島市西区草津南三丁目４－２２","082-275-5000","","","","","","","","","","","733-0863","","","","","","","","","","","","","","","","","","","","","","","","A049000652","","","132.39570799994","34.3771509998252","歯科診療所"
"かわもと歯科・こども歯科クリニック","","広島市安佐北区落合二丁目３５番８－２号","082-845-6505","","","","","","","","","","","739-1731","","","","","","","","","","","","","","","","","","","","","","","","A049000653","","","132.509711000074","34.4794259999783","歯科診療所"
"まえはら歯科クリニック","","広島市佐伯区楽々園５丁目９－５　２０２","082-942-1182","","","","","","","","","","","731-5136","","","","","","","","","","","","","","","","","","","","","","","","A049000654","","","132.352329999996","34.360822999751","歯科診療所"
"じぞう通り歯科こども歯科","","広島市中区小町８－２　アクアステージ小町　２Ｆ","082-248-3000","","","","","","","","","","","730-0041","","","","","","","","","","","","","","","","","","","","","","","","A049000655","","","132.459745999834","34.3872760000418","歯科診療所"
"くすのき歯科医院","","広島市西区楠木町３－１１－１　エブリィ楠木モール２Ｆ","082-509-5500","","","","","","","","","","","733-0002","","","","","","","","","","","","","","","","","","","","","","","","A049000656","","","132.459072999816","34.412351000076","歯科診療所"
"Ｍｉｌｌｅ歯科","","広島市南区皆実町５－６－１８","082-251-7733","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A049000657","","","132.464858000101","34.3737719998719","歯科診療所"
"医療法人社団　東広会　ゆめタウン広島歯科","","広島市南区皆実町２－８－１７　ゆめタウン広島　１階","082-555-2418","","","","","","","","","","","734-0007","","","","","","","","","","","","","","","","","","","","","","","","A049000658","","","132.46371100018","34.3762579998831","歯科診療所"
"そらのデンタルクリニック","","広島市佐伯区石内東１－４－２","082-941-0418","","","","","","","","","","","731-5162","","","","","","","","","","","","","","","","","","","","","","","","A049000659","","","132.401866000249","34.4138979996342","歯科診療所"
"ホワイトエッセンス広島駅前歯科","","広島市南区猿猴橋町２－１１　４Ｆ","","","","","","","","","","","","732-0823","","","","","","","","","","","","","","","","","","","","","","","","A049000660","","","132.476090000098","34.3953359996468","歯科診療所"
"北本歯科医院","","広島市西区古江新町３－４","082-272-4525","","","","","","","","","","","733-0873","","","","","","","","","","","","","","","","","","","","","","","","A049000661","","","132.411237999934","34.3859049997869","歯科診療所"
"渡辺歯科バンビ小児歯科医院","","広島市西区横川町３－１２－１８　横川駅前ビル３Ｆ","082-295-2281","","","","","","","","","","","733-0011","","","","","","","","","","","","","","","","","","","","","","","","A049000662","","","132.450625999972","34.408997999808","歯科診療所"
